Date,Average Daily Value
2010-12-12,16.8417
2010-12-13,4.7375
2010-12-14,4.695
2010-12-15,8.1
2010-12-16,13.4
2010-12-17,11.05
2010-12-18,7.8333
2010-12-19,13.1417
2010-12-20,14.9417
2010-12-21,8.1542
2010-12-22,8.75
2010-12-23,15.6125
2010-12-24,14.8087
2010-12-25,8.2609
2010-12-26,5.91
2010-12-29,6.3435
2010-12-30,8.9625
2010-12-31,3.9429
2011-01-01,1.8091
2011-01-02,2.5682
2011-01-03,3.6333
2011-01-04,2.0087
2011-01-05,4.4944
2011-01-06,5.435
2011-01-07,10.3333
2011-01-08,6.925
2011-01-10,3.7304
2011-01-11,8.8875
2011-01-12,14.3208
2011-01-13,10.9
2011-01-14,8.2083
2011-01-15,12.375
2011-01-16,15.8917
2011-01-17,15.0125
2011-01-18,5.7174
2011-01-19,4.8476
2011-01-20,10.85
2011-01-23,4.76
2011-01-24,2.735
2011-01-26,1.2524
2011-01-27,1.3111
2011-01-28,2.2316
2011-01-29,3.0208
2011-01-30,5.8174
2011-01-31,10.7875
2011-02-01,4.2348
2011-02-02,2.6125
2011-02-04,1.781
2011-02-05,2.1174
2011-02-06,3.4783
2011-02-07,5.0542
2011-02-08,7.3042
2011-02-09,5.5458
2011-02-10,1.5571
2011-02-11,2.8476
2011-02-12,3.45
2011-02-14,8.9474
2011-02-15,4.6304
2011-02-16,8.4833
2011-02-17,9.6917
2011-02-18,12.2417
2011-02-19,17.9042
2011-02-20,20.35
2011-02-21,5.2364
2011-02-22,4.5167
2011-02-23,3.7217
2011-02-24,5.25
2011-02-25,7.4043
2011-02-26,8.3524
2011-02-27,5.3105
2011-02-28,6.2458
2011-03-01,11.1
2011-03-02,7.5792
2011-03-03,13.6583
2011-03-04,20.4792
2011-03-05,20.0417
2011-03-06,11.413
2011-03-07,19.1333
2011-03-08,17.3478
2011-03-09,9.82
2011-03-10,15.7739
2011-03-11,15.5125
2011-03-12,16.1208
2011-03-13,5.3
2011-03-14,3.4778
2011-03-15,4.6087
2011-03-16,8.9667
2011-03-17,26.487
2011-03-18,13.95
2011-03-19,13.1583
2011-03-20,11.2208
2011-03-21,10.1565
2011-03-22,7.6333
2011-03-23,7.3625
2011-03-24,9.65
2011-03-25,10.5125
2011-03-26,10.6167
2011-03-27,8.2292
2011-03-28,12.3708
2011-03-29,6.3167
2011-03-30,2.8
2011-03-31,6.3958
2011-04-01,8.8292
2011-04-02,4.1455
2011-04-04,4.0682
2011-04-05,5.4143
2011-04-06,4.675
2011-04-07,6.3875
2011-04-08,10.1727
2011-04-09,7.1182
2011-04-10,8
2011-04-11,6.7056
2011-04-13,9.1684
2011-04-15,7.3348
2011-04-16,9.35
2011-04-17,6.7619
2011-04-18,9.1261
2011-04-19,7.8417
2011-04-20,8.6182
2011-04-21,8.4667
2011-04-22,7.5
2011-04-23,8.4818
2011-04-24,10.0591
2011-04-25,9.3
