Date,Air_Temp,Humidity,Wind_Speed,Wind_Direction
2021-06-02,23.4,34.4,7.8,285.7
2021-06-03,23.4,35.9,12.6,303.9
2021-06-04,21.2,41,18.6,296
2021-06-05,12.2,71.2,17.1,7.6
2021-06-06,9.6,68.2,14,299.2
2021-06-07,8.2,66.5,21.1,313
2021-06-08,9.7,66.2,10.4,104.9
2021-06-09,10.6,80.7,14.2,159
2021-06-10,10.6,74.2,15.1,323.7
2021-06-11,13,43.2,11.2,225.7
2021-06-12,14.7,38.2,11.8,276
2021-06-13,18.7,39.8,11.5,167
2021-06-14,22.8,49,,
2021-06-15,19.8,54.1,18.2,323.9
2021-06-16,16.7,34.7,25.2,276.9
2021-06-17,16.2,34,17.2,295.7
2021-06-18,17.1,44,14.8,180.1
2021-06-19,13,74,13.2,347
2021-06-20,16.1,53.5,16.3,4.2
2021-06-21,19.4,38.8,8.9,215.3
2021-06-22,24.2,28.8,17.6,281.6
2021-06-23,18.7,48.4,16.3,49.9
2021-06-24,15.1,74.6,,
2021-06-25,20.8,51.5,16.2,337.2
2021-06-26,24.3,46.8,13,359.9
2021-06-27,24.2,51,11.5,62.2
2021-06-28,26.3,45.9,13.4,157.9
2021-06-29,28.1,40.7,,
2021-06-30,28,31.6,21,168
2021-07-01,27.6,31.5,20.6,154
2021-07-02,22.9,57.2,14.6,349.8
2021-07-03,20.4,61.4,12.5,24.3
2021-07-04,16.1,84.8,12.6,19.1
2021-07-05,15.1,77.4,9.2,103.8
2021-07-06,17.9,73.7,,
2021-07-07,19,72.9,8.7,138.7
2021-07-08,19.8,64.3,8.6,68.1
2021-07-09,21.4,54.4,7.8,357.6
2021-07-10,23.4,47.3,11.9,234.5
2021-07-11,18.2,62,10,9.5
2021-07-12,19.1,61,8,59.9
2021-07-13,20.8,56.1,11.8,135.8
2021-07-14,22.9,50.5,12.8,183.6
2021-07-15,22.2,53.5,11.4,13.8
2021-07-16,20.7,55.6,13.4,37.9
2021-07-17,17.2,69.4,17.6,11.9
2021-07-18,16.1,81.6,13.8,99.5
2021-07-19,17.4,82.1,12.1,86.8
2021-07-20,17.6,87.7,11.6,130.6
2021-07-21,19.8,64.1,16.5,148.2
2021-07-22,16.5,56.7,14,134.8
2021-07-23,18.5,37.7,17.1,262.5
2021-07-24,19.2,40,11.1,164.7
2021-07-25,19.4,50.4,11,69.3
2021-07-26,18.5,61.3,14.8,142.5
2021-07-27,18.5,61.9,14,35.1
2021-07-28,20.6,55.8,10.6,138
2021-07-29,22,56.2,13.1,6.1
2021-07-30,22.2,54.4,12.4,141.8
2021-07-31,22.7,45,8.6,172
2021-08-01,24.8,42.4,13.1,174.4
2021-08-02,21.3,71.5,14.4,344.1
2021-08-03,23.9,49.2,13.5,313.9
2021-08-04,20.7,54.9,11.8,197.4
2021-08-05,22.7,42.7,12.1,191
2021-08-06,21.2,48.9,13.6,14.8
2021-08-07,19.4,48.7,16.5,223.9
2021-08-08,14,64.1,10.2,318.8
2021-08-09,18.6,51.8,12.2,264.5
2021-08-10,17.9,53.7,18,205.4
2021-08-11,18.9,45.3,19.8,355.9
2021-08-12,19.5,39.9,6.6,331.1
2021-08-13,22.2,38,9.8,175.9
2021-08-14,24.4,32.2,11.4,225.2
2021-08-15,23.4,39.4,12.2,233.1
2021-08-16,16.8,64.2,11.5,16.7
2021-08-17,10.3,89.6,13.7,344.2
2021-08-18,12.8,65.8,13.1,154
2021-08-19,12.3,80.6,12.5,320
2021-08-20,13.9,66.1,11.5,351.5
2021-08-21,12.5,73.2,15,28.2
2021-08-22,12.8,78.4,14.6,83.5
2021-08-23,9.2,79.1,25.7,317
2021-08-24,11.2,63.5,16.7,54.8
2021-08-25,13.3,58.2,15,181.6
2021-08-26,15.6,49.4,6.6,180.2
2021-08-27,14.8,60.2,17.1,344.8
2021-08-28,15.2,56.2,8.1,198.8
2021-08-29,17.7,45.1,8.1,259.8
2021-08-30,16.7,49,10.7,32.8
2021-08-31,11.9,73.7,,
2021-09-01,10.1,65.5,20,319.2
2021-09-02,11.4,60,16.3,345.1
2021-09-03,13.8,53.8,7.8,190.6
2021-09-04,15.9,47.1,8.5,246.7
2021-09-05,20.8,31.5,17.6,275.6
2021-09-06,16.3,43.8,12.9,346.1
2021-09-07,15.4,45.9,9.2,137.7
2021-09-08,15.2,53.9,8.8,211.3
2021-09-09,17.5,52.5,10.9,287.2
2021-09-10,14.5,64.7,14.9,184.1
2021-09-11,11.7,88,12.1,114.4
2021-09-12,11.9,84.5,10.9,116.7
2021-09-13,12.5,64.5,7.6,112.3
2021-09-14,13.8,44.3,7.9,221.5
2021-09-15,8.4,61.5,18.5,297.1
2021-09-16,8.9,36.1,16.2,295.2
2021-09-17,9.9,48.9,10.1,174.4
2021-09-18,16.9,40.9,25.1,236.7
2021-09-19,11.5,41,11.8,294.3
2021-09-20,10.1,48.1,9.6,250.2
2021-09-21,14.8,38.2,14.1,227.3
2021-09-22,15.5,40.5,13.6,245.3
2021-09-23,10.4,48.2,10.7,93.1
2021-09-24,14.9,46.9,11.4,196.6
2021-09-25,16.2,50.7,9.4,281.5
2021-09-26,15.9,52,9.1,204.8
2021-09-27,16.5,42.4,14.7,209.4
2021-09-28,12.5,41.1,16.1,305.8
2021-09-29,10.1,40,12.2,204.1
2021-09-30,14.4,44.2,12.7,219
2021-10-01,12.5,36,,
2021-10-02,10,41.3,11.5,242.6
2021-10-03,12,41.6,14,246.5
2021-10-04,6.7,60,7.7,50.2
2021-10-05,12.6,43.1,14.1,204
2021-10-06,5.9,62.7,14.6,351.3
2021-10-07,6.1,50.6,11.1,222.9
2021-10-08,5.2,35,8.2,187.9
2021-10-09,8.5,35.9,12.5,270.4
2021-10-10,5.8,60,19.9,286.3
2021-10-11,1,63,8.7,293.9
2021-10-12,0.9,54.7,15.7,177.8
2021-10-13,0.5,70.4,12.5,335.3
2021-10-14,3.8,52.6,16.6,287
2021-10-15,6.7,42.6,13.4,215.1
2021-10-16,11.4,43.2,12.7,221.6
2021-10-17,10.8,44.5,12.6,357.6
2021-10-18,3.6,79,13.8,28.9
2021-10-19,4.5,72.1,24.4,161
2021-10-20,3.5,73.1,16,172.3
2021-10-21,10.5,42.7,17.1,283.5
2021-10-22,6.7,62,12.2,159.7
2021-10-23,4.7,92.6,15.1,6.7
2021-10-24,4.7,73.1,13.9,168.5
2021-10-25,7.2,54.7,13.8,240.6
2021-10-26,6.8,44.6,10.6,255.2
2021-10-27,6.9,39.1,23.2,261
2021-10-28,4.4,54.4,11.1,183.5
2021-10-29,1.7,81.3,12.3,338.2
2021-10-30,-1.3,57.3,10.9,319.6
2021-10-31,-4.6,67.1,7.2,186.1
2021-11-01,-6.6,75.6,14.4,186.4
2021-11-02,2.7,56.3,9.8,227.8
2021-11-03,6.7,55.1,11,233.8
